order_id,user_id,created_at,status
1,168,2026-03-09 12:14:00,shipped
2,433,2025-05-05 16:48:00,delivered
3,628,2025-07-10 09:41:00,delivered
4,829,2025-07-04 13:12:00,delivered
5,187,2024-10-06 09:07:00,delivered
6,633,2026-07-16 08:44:00,delivered
7,193,2025-10-18 00:09:00,pending
8,548,2024-02-15 05:06:00,shipped
9,129,2026-06-16 23:00:00,processing
10,155,2024-01-31 15:13:00,shipped
11,320,2026-10-17 11:29:00,delivered
12,33,2025-11-07 02:53:00,delivered
13,150,2024-04-24 08:49:00,shipped
14,557,2026-08-20 05:12:00,delivered
15,257,2026-02-20 00:07:00,cancelled
16,732,2025-05-24 12:49:00,cancelled
17,254,2024-03-09 06:29:00,delivered
18,97,2026-12-03 21:13:00,delivered
19,698,2025-10-01 10:10:00,delivered
20,44,2026-12-02 03:16:00,delivered
21,306,2025-02-10 11:56:00,pending
22,683,2025-03-22 03:15:00,delivered
23,333,2024-01-31 05:50:00,shipped
24,123,2026-03-21 07:00:00,cancelled
25,596,2026-08-31 22:38:00,processing
26,790,2024-07-02 07:10:00,delivered
27,703,2025-11-24 20:03:00,pending
28,661,2024-11-11 22:34:00,delivered
29,129,2026-09-26 07:20:00,cancelled
30,808,2025-12-12 14:46:00,processing
31,706,2026-02-12 11:46:00,processing
32,921,2024-03-21 15:45:00,shipped
33,302,2026-09-30 06:36:00,processing
34,357,2025-10-24 23:29:00,shipped
35,852,2024-11-24 02:33:00,processing
36,303,2025-06-23 17:23:00,delivered
37,795,2026-11-02 12:46:00,processing
38,20,2026-01-15 19:15:00,shipped
39,65,2026-03-04 06:33:00,delivered
40,785,2024-11-11 19:18:00,shipped
41,657,2025-10-21 03:06:00,delivered
42,69,2024-03-30 04:11:00,delivered
43,207,2024-08-07 15:12:00,pending
44,585,2026-03-06 21:31:00,delivered
45,719,2025-06-08 01:23:00,processing
46,736,2024-05-25 00:59:00,cancelled
47,672,2026-10-03 02:29:00,delivered
48,63,2026-01-09 17:47:00,cancelled
49,426,2026-01-25 22:03:00,delivered
50,273,2026-12-19 01:46:00,pending
51,312,2024-06-08 06:33:00,pending
52,743,2025-04-18 17:24:00,processing
